,files,tp_cost,tp_fields,tp_list,tp_name,tp_name_check,tp_no_centres,tp_states,tp_trainees
68,Institute-Advance-Security-Training-Management.pdf,20.06 Crore,"Private Security (Electronic Security, General Security and Fire & Industrial Safety)Target PopSegmentClass X, XII pass, NCC B &C certificate holders, grads, security guards, diploma holders, BE/BTechdepending on course","1Institute of Advanced Security Training & Management Pvt. Ltd Proposing& Implementing OrganizationInstitute of Advanced Security Training & Management Pvt.Ltd (ASTM)promoted by ZicomElectronic Security Systems Ltd.No. of Trainees in 10 years6,84,045 [Skilling 4,02,303; Corp Skilling 2,42,410 and Up-skilling (Govt.) 39,332]No of CentresSelf-Managed Centres 20Franchisee Centres 184LocationMaharashtra, UP,  MP, Bihar, Jharkhand, Haryana, Rajasthan, ChhattisgarhSectors TargetedPrivate Security (Electronic Security, General Security and Fire & Industrial Safety)Target PopSegmentClass X, XII pass, NCC B &C certificate holders, grads, security guards, diploma holders, BE/BTechdepending on courseProject CostRs 20.06 CroreBusiness ModelStudent fee, Franchiseerevenue (25% share)OperatingModelSourcing through local advertisement, job fairs & seminars. Sourcing for electronic security though tie ups with engg. Colleges and through tie ups for Govt. programsTraining delivery through self managed & franchisee centersCertification by ASTM in partnership with FSAI,* SP Jain & DGRPlacements through franchisee & ASTMProposal Summary",Institute of Advanced Security Training & Management Pvt. Ltd,& Implementing Institute of Advanced Security Training & Management Pvt.Ltd (ASTM)promoted by ZicomElectronic Security Systems Ltd.,Self-Managed  20Franchisee  184,"LocationMaharashtra, UP,  MP, Bihar, Jharkhand, Haryana, Rajasthan, Chhattisgarh","6,84,045 [Skilling 4,02,303; Corp Skilling 2,42,410 and Up-skilling (Govt.) 39,332]"
69,Institute-Solar-Power-Technologies-Vocational-Training-(ISPTVT).pdf,"2,20,00,000","Management, Power, Electronics, Electronics, Capital Goods.","1  Institute of Solar Power Technologies and   Vocational Training (ISPTVT) Proposing Organization Institute of Solar Power Technologies and Vocational Training (ISPTVT) Implementing Agency Institute of Solar Power Technologies and Vocational Training (ISPTVT) No. of Trainees in 10 years  53,388 No. of Centres 5 centers Location(s) Hyderabad, Nellore, Pune, Bangalore, Karnataka, Chennai, Tamil Nadu. Sectors Targeted Management, Power, Electronics, Electronics, Capital Goods.  Project Cost  Rs 2,20,00,000  Sourcing Model Pre-admission need assessment through counseling  To identify the gaps and recommend a suitable course to the student An orientation program on various industry manpower needs to identify key skill-set of the students Induction program to align a students expectation based on his/her academic qualification, skill set, nature, attitude and aptitude Collaboration with government schools, colleges and various NGOs for     carriers counseling and training Engage with financial institutions like SBI, UCO Bank, PNB, Kodak, HDFC etc. to    help students avail loans at cheaper rate of interest    Proposal Summary ",Institute of Solar Power Technologies and   Vocational Training (ISPTVT),Institute of Solar Power Technologies and Vocational Training (ISPTVT) Implementing Agency Institute of Solar Power Technologies and Vocational Training (ISPTVT),5,"Hyderabad, Nellore, Pune, Bangalore, Karnataka, Chennai, Tamil Nadu.","53,388"
70,Interactive Institute of Job Skills (IIJS) Private Limited.pdf,"2,25,00,000","Retail, Media and Entertainment, Apparel, Electronics","7InteractiveInstitute of Job Skills (IIJS) Private LimitedProposingOrganizationInteractive Institute of Job Skills (IIJS) Private LimitedImplementingAgencyInteractive Institute of Job Skills (IIJS) Private LimitedNo. of Trainees in 10 years56,730No. of Centres10 centersLocation(s)Bangalore, Chennai, Vijayawada, Tirupati, DevanahalliSectors TargetedRetail, Media and Entertainment, Apparel, ElectronicsProject CostRs. 2,25,00,000SourcingModelThe applicant would source the trainees through the modes:Seminar on skill-gapPR activity, BTL activities, College database, contactplacement officersSatellite centers, NGOs,Marketing through Business development tamRevenue ModelTuition Fee Collected from students (The applicant hasproposed an increase in course fee from year 2 onwards)Proposal Summary",InteractiveInstitute of Job Skills (IIJS) Private Limited,Interactive Institute of Job Skills (IIJS) Private LimitedImplementingAgencyInteractive Institute of Job Skills (IIJS) Private Limited,10,"Bangalore, Chennai, Vijayawada, Tirupati, Devanahalli","56,730"
71,Involute-Institute-Industrial-Training-Private-Limited.pdf,"30,76,00,000",Automobile and Auto Components,"1 Involute Institute Of Industrial Training Private Limited Proposing Organization Involute Institute Of Industrial Training Private Limited Implementing Agency Involute Institute Of Industrial Training Private Limited No. of Trainees in 10 years  1,41,300 No. of Centres 3 centers Location(s) Hyderabad, Chennai, Pune Sectors Targeted Automobile and Auto Components Project Cost  Rs. 30,76,00,000 Sourcing Model MOUs with local it is to advertise and call for students Rural areas will be targeted by advertising through District Rural Development Authority Selection of students based on personal interview, exercise based (to check hand-eye coordination and basic problem solving. Up skilling courses-students will be sourced from companies. premises, Proposal Summary ",Involute Institute Of Industrial Training Private Limited,Involute Institute Of Industrial Training Private Limited Implementing Agency Involute Institute Of Industrial Training Private Limited,3,"Hyderabad, Chennai, Pune","1,41,300"
72,JITM-Skills-Private-Limited.pdf,"1,48,00,000","Organized Retail, Telecom, Automotive, Plumbing","1            JITM Skills Private Limited Proposing Organization JITM Skills Private Limited Implementing Agency JITM Skills Private Limited No. of Trainees in 10 years  82,852 No. of Centres 16 centers Location(s) Delhi NCR, East Delhi, North Delhi, Gurgaon, Uttar Pradesh, Ghaziabad, Meerut, Bulandshaher, Noida, Rajasthan, Jaipur, Jodhpur, Jharkhand Jamshedpur, Ranchi, West Singh hum, Bihar, Gaya, Patna Sectors Targeted Organized Retail, Telecom, Automotive, Plumbing Project Cost  Rs. 1,48,00,000 Sourcing Model The center heads will be entrusted with the responsibility of mobilization. Trainees will be sourced by door-to-door campaigning, visiting schools in the area, through NGOs as well as referrals. Moreover, JITM Skills Private Limited will spread awareness about its courses and training centers through advertisements in print media, radio jungles, street plays, leaflets, meetings, rallies, etc. JITM Skills Private Limited envisages setting up 16 centers over next 10 years for delivering training. Proposal Summary ",JITM Skills Private Limited,JITM Skills Private Limited Implementing Agency JITM Skills Private Limited,16,"Delhi NCR, East Delhi, North Delhi, Gurgaon, Uttar Pradesh, Ghaziabad, Meerut, Bulandshaher, Noida, Rajasthan, Jaipur, Jodhpur, Jharkhand Jamshedpur, Ranchi, West Singh hum, Bihar, Gaya, Patna","82,852"
73,Jaya_Organic_Yojna.pdf,3.91crore,Agriculture,"1Jaya Organic YojanaProposingOrganizationSumangaliSevaAshramaImplementingAgencySumangaliSevaAshramaNo. of Trainees in 10 years 16,800  in 10 yearsNo. of CentresNo fixed centers.Training will be conducted in farms/houses of the candidatesLocation(s)KarnatakaSectors TargetedAgricultureProject Cost Rs. 3.91croreRevenue ModelFee collected from the trainee undergoing vermicompostprogramFee will be collectedafter the candidate has sold his vermicompost, vermiwashand earthworms which they producedSourcing ModelSourcing of the trainees will be done predominantly by the NGOs in the villages in the districts allotted to themManagement team of Jaya Organic Yojanaand NGOs will conduct awareness campsThe details of the candidates enrolling for the program is recorded with the help of a tablet in an application developed for the programProposal Summary",Jaya Organic Yojana,SumangaliSevaAshramaImplementingAgencySumangaliSevaAshrama,No fixed .Training will be conducted in farms/houses of the candidates,Karnataka,"16,800"
74,Jetking-Info-train-Limited.pdf,"66,65,73,233","IT Hardware, Electronics & Automobile","11Jetking info train LimitedProposingOrganizationJetking info train LimitedImplementingAgencyJetkinginfo train LimitedNo. of Trainees in 10 years18,70,313No. of Centres612 Centre'sLocation(s)Pan IndiaSectors TargetedIT Hardware, Electronics & AutomobileProject CostRs. 66,65,73,233SourcingModelTent Camps. Workshop etc. with mass counseling programconducted at the local level colleges are also visited.Selection through David Battery of Different Ability test and one-toone interviews.Evaluation is on parameters including pass %communicationskills, householdincome etc.Interaction with parents is made to understand their perspectiveand expectations from students.Proposal SummaryLocal promotion and TV based promotion to attract students",1Jetking info train Limited,Jetking info train LimitedImplementingAgencyJetkinginfo train Limited,612 Centre's,Pan India,"18,70,313"
75,K11_Fitness_Management_Company_Private_Limited.pdf,8.07Cr.,Beauty and wellness,"3K11Fitness Management CompanyPrivateLimitedProposingOrganizationProposal SummaryProposingOrganizationK11 Fitness Management Company Private LimitedImplementingAgencyK11 Fitness Management Company Private LimitedNo. of Trainees in 10 years54,642No. of Centres8 CentresLocation(s):Gujarat, Kolkata, Delhi, Chandigarh, Hyderabad & BangaloreSectors TargetedBeauty and wellnessProject Cost (Total)Rs.8.07Cr.SourcingModelK11 is an established brand in imparting training to personaltrainers. Many renowned fitness centres are recruiting personaltrainers certified by K11. Further, the centres at Mumbai & Punecentres itself attracts numerous students from different parts ofthe country which has prompted the promoters to considerexpansion  in other territories. The existing brand image alongwith aggressive marketing and assurance of building a career inthe fitness industry will enable the project to source the trainees.",K11Fitness Management CompanyPrivateLimited,Access Livelihoods Consulting India Private LimitedImplementingAgencyAccess Livelihoods Consulting India Private Limited,8,":Gujarat, Kolkata, Delhi, Chandigarh, Hyderabad & Bangalore","54,642"
76,KVM-Academy-Pvt-Ltd.pdf,,,,KVM-Academy-Pvt-Ltd.pdf,,,,
77,Kapston-Facilities-Management-Pvt-Ltd.pdf,"4,34,00,000","Informal Sector (Security Services, Facilities Management)","1        Kapston Facilities Management Pvt Ltd Proposing Organization Kapston Facilities Management Pvt Ltd Implementing Agency Kapston Facilities Management Pvt Ltd No. of Trainees in 10 years  100,740 No. of Centres 26 centers Location(s) Andhra Pradesh, Hyderabad, Vijayawada, Vishakhapatnam, Guntur, Karnataka, Mysore, Bangalore, Raichur, Yadgir, Sectors Targeted Informal Sector (Security Services, Facilities Management) Project Cost  Rs.4,34,00,000 Sourcing Model Souring strategy is proposed to be in three stage process focusing on identifying right promotional and outreach plan followed by preliminary registration and Aptitude Assessment Tool that would lead to final registrations Sourcing strategy is developed on target segment centric approach with identification of promotional channel, communication objective, message dependent on the audience Promotional channels identified in the sourcing plan include: Identification Community volunteers who will front end the process of mobilization for social acceptance of the skill training program. Literature -  designing of the organizational details, program details, and orientation to the domains for training     Proposal Summary ",Kapston Facilities Management Pvt Ltd,Kapston Facilities Management Pvt Ltd Implementing Agency Kapston Facilities Management Pvt Ltd,26,"Andhra Pradesh, Hyderabad, Vijayawada, Vishakhapatnam, Guntur, Karnataka, Mysore, Bangalore, Raichur, Yadgir,","1,00,740"
78,KarmYog Education Network Pvt. Ltd.pdf,11.75crores,"Travel,Tourism & Hospitality, Education & Skill Development","2KarmYogEducation Network Pvt. Ltd.ProposingOrganizationKarmYogEducation Network  Pvt. Ltd.ImplementingAgencyKarmYogEducation Network Pvt. Ltd.No. of Trainees in 10 yearsN.A.No. of Centres2Focused Learning Companies proposed in pilot phaseLocation(s)Sectors TargetedTravel,Tourism & Hospitality, Education & Skill DevelopmentProject CostRs. 11.75croresSourcingModelLearning Festival events that attract large numbers of prospectivestudents and will enhance attendeeshireabilitythrough trainingand job placements.Mass Campaigns will form part of the marketing and brandingcampaign to create a huge feeder system. The TTH FLC islaunching a mass campaigntitrain 5 million drivers in 5 years.Follow up from Integrated Learning Campaign Systema centraldatabase which tracks the progress of trainees/learnersForm alliances with recruiters, school placement organization etc.Proposal Summary",KarmYogEducation Network Pvt. Ltd.,KarmYogEducation Network  Pvt. Ltd.ImplementingAgencyKarmYogEducation Network Pvt. Ltd.,2Focused Learning Companies proposed in pilot phase,,N.A.
79,Kashi Vishwanatha Vidya Samsthe (Milaap).pdf,11.8 Crores,,"1 Kashi Vishwanatha Vidya Samsthe (Milaap) Proposing Organization Kashi Vishwanatha Vidya Samsthe (Milaap) Implementing Agency Kashi Vishwanatha Vidya Samsthe (Milaap) Objective of the Project To develop financial solutions for skill-development; this aspect of vocational education, viz. financing, is still underdeveloped. To create new loan products and processes which will make vocational education affordable to students across various sectors and in doing so, create a new asset class of education loans To develop scalable processes Location(s) Pan India Sectors Targeted For their existing projects, loans are being provided in Retail, Auto (sales and servicing) and skill based entrepreneurship (craftsmen and artisan).  They propose to provide loans in these sectors and additional sectors like healthcare, ITES and financial services Project Cost  Rs 11.8 Crores Revenue Model The revenue heads for KVVS are: Interest Income from the portfolio of direct lending Fee Income on successful placement of trainees Income from securitization of loans Income from Processing Fees Operating Model KVVS identifies a training partner who is responsible for sourcing of borrowers. The disbursement and recollection is handled by KVVS Proposal Summary ",Kashi Vishwanatha Vidya Samsthe (Milaap),Kashi Vishwanatha,,Pan India,
80,Kherwadi Social Welfare Association.pdf,23.82Crore,Unorganized Sector,"1KherwadiSocial Welfare Association (KSWA)ProposingOrganizationKherwadiSocial Welfare Association (KSWA)ImplementingAgencyKherwadiSocial Welfare Association (KSWA)No. of Trainees in 10 years 21,02,623  in 10 yearsNo. of Centres180 centers(Self-owned -64 & Franchisee 116)Location(s)PAN IndiaSectors TargetedUnorganized SectorProject Cost Rs. 23.82CroreSourcing ModelCommunityEngagement/Doro-to-door visits/Alumni referenceMobile rural camps/distribution of pamphlets/ralliesSpreading awareness through career fairs/setting-up kiosks during festivalsHousehold survey/ student needs assessment surveyRevenue ModelRevenue from training fee (from students)Training & Consultancy servicesResearch grants receivedTraining grants receivedPlacement fee from the employersCertification feeProposal Summary",KherwadiSocial Welfare Association (KSWA),KherwadiSocial Welfare Association (KSWA)ImplementingAgencyKherwadiSocial Welfare Association (KSWA),180 (Self-owned -64 & Franchisee 116),PAN India,"21,02,623"
81,Khwahish_Leather_Skill_Trainers_and_Consultants.pdf,2.60 crore,Leather andLeather Goods & Organized Retail,"2KhwahishLeather Skill Trainers and ConsultantsPvtLtd.ProposingOrganizationProposal SummaryProposingOrganizationKhwahishLeather Skill Trainers and Consultants Pvt LtdImplementingAgencyKhwahishLeather Skill Trainers and Consultants Pvt LtdNo. of Trainees in 10 years54,152No. of Centres10 (8 own centres and 2 on site centres)Location(s)Punjab, Madhya Pradesh,Odisha,Haryana, Uttar Pradesh,Uttarakhand and ChhattisgarhSectors TargetedLeather andLeather Goods & Organized RetailProject Cost (Total)Rs.2.60 croreSourcingModelKhwahishplans to undertake following activities to mobilize students for theproposed courses.Develop an in-house mobilization team having GRV (Grass rootVolunteers) who will touch base with Village Residents and GramPanchayats.Support will be taken from State Employment Agency (RojgarKaraylaya).Participate in various jobmelasconducted by respective state agencyunder Skill development project.Media advertisements support will be taken for spreading information.Word of Mouth advertisement by outgoing students.Counseling camp will be organized inPanchayatlevel.",KhwahishLeather Skill Trainers and ConsultantsPvtLtd.,Access Livelihoods Consulting India Private LimitedImplementingAgencyAccess Livelihoods Consulting India Private Limited,10 (8 own  and 2 on site ),"Punjab, Madhya Pradesh,Odisha,Haryana, Uttar Pradesh,Uttarakhand and Chhattisgarh","54,152"
82,Kohinoor-Technical-Institute.pdf,,,,Kohinoor-Technical-Institute.pdf,,,,
83,LaDegain-Solutions-Private-Limited.pdf,"1,30,00,000","Automobile & automobile Components, Organized Retail, Transportation, Logistics, Warehousing & Packaging","1            LaDegain Solutions Private Limited Proposing Organization  LaDegain Solutions Private Limited Implementing Agency  LaDegain Solutions Private Limited No. of Trainees in 10 years  97,703 No. of Centres 12 centers Location(s) Thane, Akola, Amravati, Bangalore, Aurangabad, Nagpur, Nasik, Ahmedabad, Surat Sectors Targeted Automobile & automobile Components, Organized Retail, Transportation, Logistics, Warehousing & Packaging Project Cost  Rs. 1,30,00,000 Sourcing Model The proposal targets the unskilled, semi-skilled, on-the-job candidates drop-outs, college drop-outs, etc., for training. The Company will use various mediums for mobilization, including print and visual media, hoardings/banners, job portals, etc. The proposal owner also believes that word-of-mouth marketing by existing and passed out trainees will help in generating awareness and interest for the training. LaDegain will develop the curriculum and content for all the proposed courses. The Company would lease the content development and up gradation work to a third party. LaDegain is affiliated with various SSCs viz RASCI, ASDC, SSSDC, CSDC, and ASCI. Proposal Summary ",LaDegain Solutions Private Limited,LaDegain Solutions Private Limited Implementing Agency  LaDegain Solutions Private Limited,12,"Thane, Akola, Amravati, Bangalore, Aurangabad, Nagpur, Nasik, Ahmedabad, Surat","97,703"
84,Laqsh-Job-Skills-Academy-Private-Limited.pdf,"7,50,00,000","IT, ITES/BPO, Retail, Hospitality, Banking and Education, Auto, Gem & Jewelry, Electronics, Telecom, Beauty & Wellness","1      Laqsh Job Skills Academy Private Limited   Proposing Organization Laqsh Job Skills Academy Private Limited  Implementing Agency Laqsh Job Skills Academy Private Limited  No. of Trainees in 10 years  1.054 MN No. of Centres 420 (Own-255 and Pvt. College  165) Location(s) Tier II and III Cities in Karnataka, Tamil Nadu, Andhra Pradesh, Gujarat, Maharashtra, Kerala, Uttar Pradesh, Jammu & Kashmir Sectors Targeted IT, ITES/BPO, Retail, Hospitality, Banking and Education, Auto, Gem & Jewelry, Electronics, Telecom, Beauty & Wellness     Project Cost  Rs. 7,50,00,000 Operating Model Staggered delivery mechanism in private institutions Techno long based system in place for training and assessment Training delivered through V-SAT/3G technology Proposal Summary ",Laqsh Job Skills Academy Private Limited,Laqsh Job Skills Academy Private Limited  Implementing Agency Laqsh Job Skills Academy Private Limited,420 (Own-255 and Pvt. College  165),"Tier II and III Cities in Karnataka, Tamil Nadu, Andhra Pradesh, Gujarat, Maharashtra, Kerala, Uttar Pradesh, Jammu & Kashmir",1.054 MN
85,Leather Learning Solution.pdf,15 crores,Leather and Leather Goods,"1 Leather Learning Solution Proposing Organization DN Leather Solution Private Limited Implementing Agency DN Leather Solution Private Limited No. of Trainees in 10 years  112,684  in 10 years No. of Centres 15 centers (3 self-owned and 12 franchisee) Location(s) PAN India Sectors Targeted Leather and Leather Goods Project Cost  Rs. 15 crores Revenue Model Revenue from training (at self-owned and franchisees)  50.3% of total revenue over 10 years -Course fee from students -Workshop fee from students -One time franchisee fee  Income from Manpower Placement Services (MPS)  34.8% of total revenues over 10 years  Other revenue  14.9% of total revenue over 10 years Proposal Summary ",Leather Learning Solution,DN Leather Solution Private Limited Implementing Agency DN Leather Solution Private Limited,15  (3 self-owned and 12 franchisee),PAN India,"1,12,684"
86,Lok Bharti.pdf,8.10crore,"Construction, Hospitality, Telecom and OrganizedRetail","1LokBharti Skilling Solutions Private LimitedProposingOrganizationLokBharti SkillingSolutions Private LimitedImplementingAgencyLokBharti SkillingSolutions Private LimitedNo. of Trainees in 10 years 2,48,413  in 10 yearsNo. of Centres40 fixed centers + 186 mobile centers for training in ConstructionLocation(s)Delhiand Uttar PradeshSectors TargetedConstruction, Hospitality, Telecom and OrganizedRetailProject Cost Rs. 8.10croreBusiness ModelTrainingfee, registration fee and placement feeObjectiveof the ProjectTo reduce the gaps between demand and supply of skilled labor in the construction, hospitality, retail and telecom industry in high demand selective functionsTo skill, re-skill and up-skill workers in the construction, hospitality, retail and telecom industry to enable them to improve productivity and quality of work and soft skills in order to improve their livelihoodDevelop a sustainable and scalable re-skilling model for the construction industry to adaptProposal Summary",LokBharti Skilling Solutions Private Limited,LokBharti SkillingSolutions Private LimitedImplementingAgencyLokBharti SkillingSolutions Private Limited,40 fixed  + 186 mobile  for training in Construction,Delhiand Uttar Pradesh,"2,48,413"
87,MIHER.pdf,,,,MIHER.pdf,,,,
88,Madura-Micro-Education-Private-Limited.pdf,"7,02,65,173",Micro Entrepreneurship,"1              Madura Micro Education Private Limited Proposing Organization Madura Micro Education Private Limited Implementing Agency Madura Micro Education Private Limited No. of Trainees in 10 years  32,09,634 No. of Centres 1898 centers Location(s) Tamil Nadu, Karnataka, Kerala, Andhra Pradesh, Maharashtra, Madhya Pradesh, Orissa, Gujarat, Uttarakhand, Sectors Targeted Micro Entrepreneurship Project Cost  Rs.7,02,65,173 Sourcing Model Madura Centers: Madura Micro Education will reply on the member base of 5 lakh borrowers ( active members 180,000- 195,000 at any given time) of  Madura Micro Finance. They will also use the services of Member Welfare Associates (MWA) for mobilization of trainees. Each MWA is required to handle 800 members/ beneficiaries i.e.40 groups at one time. The primary role of MWA is to organize beneficiary meeting every month and collect the loan money from beneficiaries. These MWAs are not on the rolls of the company and work part time, and are usually past beneficiaries of MMFL. Franchisee Centers: Madura Micro Education will approach MFIs, NGOs, Vocational Training Centers and Individuals as franchisees. Students will be identified by the local franchisee partners from among their target communities. NGOS and MFI franchisee partners will identify candidates from among their members who are interested in starting or improving a micro business.  Proposal Summary ",Madura Micro Education Private Limited,Madura Micro Education Private Limited Implementing Agency Madura Micro Education Private Limited,1898,"Tamil Nadu, Karnataka, Kerala, Andhra Pradesh, Maharashtra, Madhya Pradesh, Orissa, Gujarat, Uttarakhand,","32,09,634"
89,Mahindra-Namaste.pdf,25Crores,"Auto & Auto component, Organized Retail","1Mahindra Namaste Private LimitedProposingOrganizationMahindra Namaste Pvt. Ltd.ImplementingAgencyMahindra Namaste Pvt. Ltd.No. of Trainees in 10 years 92,575 in 10 yearsNo. of Centres45 centersLocation(s)PAN IndiaSectors TargetedAuto & Auto component, Organized RetailProject Cost Rs. 25CroresRevenue ModelCourse fee collected from studentsSourcing ModelRoad shows in the catchment areaActive engagement with potential trainees through pamphlets, video presentation etc.Advertisements in employment journals, posters, banners etc.Word of mouth publicity and referrals from alumni and current studentsMeeting and presentations at colleges, local self-help groups, local government programsCreate awareness through counselors about the loan scheme provided through Mahindra Namaste which the potential trainees could availProposal Summary",Mahindra Namaste Private Limited,Mahindra Namaste Pvt. Ltd.ImplementingAgencyMahindra Namaste Pvt. Ltd.,45,PAN India,"92,575"
90,Meiyur-Agricultural-Training.pdf,,,,Meiyur-Agricultural-Training.pdf,,,,
91,Mind-Q-Academy-Private-Limited.pdf,"8,10,00,000","Electronics and IT Hardware, Media & Entertainment,","1         Mind Q Academy Private Limited Proposing Organization Mind Q Academy Private Limited Implementing Agency Mind Q Academy Private Limited No. of Trainees in 10 years  100,200 No. of Centres 17 centers Location(s) Andhra Pradesh, Hyderabad, Vizag ,Karnataka, Bangalore, Tamil Nadu, Chennai, Maharashtra, Pune, Sectors Targeted Electronics and IT Hardware, Media & Entertainment, Project Cost  Rs.8,10,00,000 Sourcing Model A Multi-pronged approach of Alumni referrals, targeted marketing through SMS, filers, pole banners, road shows at college campuses will be used. Students will be screened for Basic Aptitude, Technical & Communication skills through a combination of written test & interview process. Mind Q will utilize various Sources like referrals from public, advertisements and reputed recruitments agencies to recruit well-qualified faculty. Training of trainers will be a regular feature, to ensure that the trainers keep abreast with the latest development in instructional technology. Trainers are proposed to possess 5 to 8 years of professional experience with good grasp of Industry practices & a passion for knowledge transfer, grooming & mentoring of the students. Proposal Summary ",Mind Q Academy Private Limited,Mind Q Academy Private Limited Implementing Agency Mind Q Academy Private Limited,17,"Andhra Pradesh, Hyderabad, Vizag ,Karnataka, Bangalore, Tamil Nadu, Chennai, Maharashtra, Pune,","1,00,200"
92,Mitcon-Consulting-Engineering.pdf,,"Agriculture, Auto & Auto Comp.,BFSI, Buildings & Construction, Electronics & IT Hardware, Food processing, Beauty & Wellness","1            Mitcon Consulting & Engineering   Services Ltd. Proposing Organization Mitcon Consulting & Engineering Services Ltd. Implementing Agency Mitcon Consulting & Engineering Services Ltd. No. of Trainees in 10 years  50,065 No. of Centres 6 centers Location(s) Mumbai, Delhi, Ahmedabad, Chennai, Bangalore, Nagpur Sectors Targeted Agriculture, Auto & Auto Comp.,BFSI, Buildings & Construction, Electronics & IT Hardware, Food processing, Beauty & Wellness Project Cost  Sourcing Model Proposal Summary ",Mitcon Consulting & Engineering   Services Ltd.,Mitcon Consulting & Engineering Services Ltd. Implementing Agency Mitcon Consulting & Engineering Services Ltd.,6,"Mumbai, Delhi, Ahmedabad, Chennai, Bangalore, Nagpur","50,065"
93,My_Recharge.pdf,1.43Crores,Telecom & OrganizedRetail.,"7My RechargePvtLtd.ProposingOrganizationProposal SummaryProposingOrganizationMyRecharge Pvt  Ltd.ImplementingAgencySPV ofmy Recharge Pvt Ltd.No. of Trainees in 10 years85,855No. of Centres7 CentresLocation(s)Rajasthan,  Kolkata,Gujarat & DelhiSectors TargetedTelecom & OrganizedRetail.Project Cost (Total)Rs.1.43CroresSourcingModelThe students will be mobilized through advertisements(Newspaper/FM), SMS, IVR Calling, Mouth publicity, Promotions inschools & Colleges and by road shows and events.My Recharge  has tie-up with synergy, Advertising and MarketingCompany based in  Jaipur and works  pan India.",My RechargePvtLtd.,Access Livelihoods Consulting India Private LimitedImplementingAgencyAccess Livelihoods Consulting India Private Limited,7,"Rajasthan,  Kolkata,Gujarat & Delhi","85,855"
94,Nalanda-Institute-Computer-Vocational-Training.pdf,,,,Nalanda-Institute-Computer-Vocational-Training.pdf,,,,
95,Nettur-Technical-Training-Foundation.pdf,"7,50,00,000","Auto and Auto Components, Electronics, Building and Construction, Capital Goods, Education and Skill Development Services, Telecom","1 Nettur Technical Training Foundation (NTTF): Skilling the Unskilled Proposing Organization Nettur Technical Training Foundation (NTTF): Skilling the Unskilled Implementing Agency Nettur Technical Training Foundation (NTTF): Skilling the Unskilled No. of Trainees in 10 years  216,941 No. of Centres 77 centers Location(s) Bangalore, Gannavaram, Pant agar Mehsana Charta, Gujarat, Bangalore Peenya Tell cherry,  Sectors Targeted Auto and Auto Components, Electronics, Building and Construction, Capital Goods, Education and Skill Development Services, Telecom Project Cost  Rs.7,50,00,000 Sourcing Model The selection of trainees is done through a test designed and administered by NTTF to assess a candidates skill, abllifit to learn, willingness to learn so that they do not drop out but successfully complete the course and gain employment major steps in sourcing of trainees is as follows- Publicity Registration Verification Test/interview/ counseling Documentation Admission Orientation. As per the discussion, NTTF 10000 to 1200 applications for the core programmer and only around 3000 are selected. Some of the students of who do not get selected in the long term programmer will be encouraged to take up short term vocational programmer.  Proposal Summary ",Nettur Technical Training Foundation (NTTF): Skilling the Unskilled,Nettur Technical Training Foundation (NTTF): Skilling the Unskilled Implementing Agency Nettur Technical Training Foundation (NTTF): Skilling the Unskilled,77,"Bangalore, Gannavaram, Pant agar Mehsana Charta, Gujarat, Bangalore Peenya Tell cherry,","2,16,941"
96,Nidan_Technologies_Pvt_Ltd.pdf,120.66 Lakhs,"Transportation, Logistic, Warehousing,Packaging, Organized Retail,Telecom, Electronics & IT Hardware","3NidanEducational and Skill Training (NEST)ProposingOrganizationProposal SummaryProposingOrganizationNidanTechnologies Pvt  LtdImplementingAgencySBU ofNidanTechnologiesPvtLtd.No. of Trainees in 10 years51,339No. of Centres6 Centresacross IndiaLocation(s)Mumbai, Bangalore,Patna, Ghaziabad, Rajasthan and MadhyaPradeshSectors TargetedTransportation, Logistic, Warehousing,Packaging, Organized Retail,Telecom, Electronics & IT HardwareProject Cost (Total)Rs.120.66 LakhsSourcingModelThe sourcing strategy for all the courses will be as follows:Regular advertisement in local language newspaper, localTV channels, Leaflets, and Pamphlets, Banners andHoardings.Presentation to students of various schools and colleges.Door to Door campaign",NidanEducational and Skill Training (NEST),Access Livelihoods Consulting India Private LimitedImplementingAgencyAccess Livelihoods Consulting India Private Limited,6 across India,"Mumbai, Bangalore,Patna, Ghaziabad, Rajasthan and MadhyaPradesh","51,339"
97,PC Training Institute Ltd.pdf,1.40 crore,"Transportation & Warehousing,Organized Retail, Food Processing and Real Estate Services","1PC Training Institute Ltd.ProposingOrganizationPC Training Institute Ltd.ImplementingAgencyPC Training Institute Ltd.No. of Trainees in 10 years 54,270No. of Centres18 centersLocation(s)Uttar Pradesh, Madhya Pradesh and Chhattisgarh Sectors TargetedTransportation & Warehousing,Organized Retail, Food Processing and Real Estate ServicesProject Cost Rs.1.40 croreSourcingModelThe sourcing team will follows a multi-method sourcing strategy for different verticals and geographies based on the target audience of learners.Since the proposal looks to target the youth right from school students, drop-outs to diploma graduates, there is a significant potential to source candidates, train them and place them.Proposal Summary",PC Training Institute Ltd.,PC Training Institute Ltd.ImplementingAgencyPC Training Institute Ltd.,18,"Uttar Pradesh, Madhya Pradesh and Chhattisgarh","54,270"
